FeatureID,FeatureName,Cluster 6 Average,Log2 Fold Change,P-Value
ENSG00000103196,CRISPLD2,1.8912104450481781,3.795256634974368,4.890499633582747e-24
ENSG00000163909,HEYL,0.15706663018196734,4.293424941661229,9.09414987389776e-18
ENSG00000152402,GUCY1A2,0.10898500869769162,4.436229593208856,1.1332179701909268e-17
ENSG00000184489,PTP4A3,0.437542756,3.8450367455242174,1.5135919327592587e-17
ENSG00000154734,ADAMTS1,0.4631862869651894,3.598172445307771,4.938469021408571e-17
ENSG00000137558,PI15,0.12661493657525938,4.662457271675633,3.5767119925763104e-16
ENSG00000158859,ADAMTS4,0.7596896194515563,3.4121339175913934,7.313326310264967e-16
ENSG00000149451,ADAM33,0.5064597463010375,3.3687602877349425,8.681054463358096e-16
ENSG00000082175,PGR,0.39266657545491834,3.4592215484811364,1.2113361817581073e-15
ENSG00000185532,PRKG1,0.34779039540292767,3.332985656119867,2.285562772555673e-14
ENSG00000109906,ZBTB16,0.2484217110020912,3.353801533881308,1.3229855739939414e-13
ENSG00000145808,ADAMTS19,0.11058772941383414,3.817735497153544,1.4555602834732942e-13
ENSG00000141338,ABCA8,0.048081621484275715,5.458224219458025,1.4555602834732942e-13
ENSG00000148357,HMCN2,0.096163243,4.364375918742638,1.5839078931041106e-13
ENSG00000107317,PTGDS,1.1763970056486126,3.080769902987338,2.6143253150936376e-13
ENSG00000140538,NTRK3,0.056095225,5.363612789901312,3.171942903119958e-13
ENSG00000168477,TNXB,0.3173387017962197,3.268808881105481,3.6671632510275975e-13
ENSG00000100968,NFATC4,0.2836815667572267,3.199451240994172,4.575156173213495e-13
ENSG00000196739,COL27A1,0.9904814025760798,3.0160063657782734,8.631133138719469e-13
ENSG00000113721,PDGFRB,0.5609522506498833,3.0191883788928937,2.536550555056408e-12
ENSG00000108381,ASPA,0.059300666497273384,4.351417492931006,2.7221645551580923e-12
ENSG00000184160,ADRA2C,0.12821765729140192,3.533537791343624,5.189441671760224e-12
ENSG00000134532,SOX5,0.17629927877567764,3.312943345116371,5.768079736758912e-12
ENSG00000124749,COL21A1,0.1554639094658248,3.3875545116141588,5.98842062487211e-12
ENSG00000187800,PEAR1,0.076930594,3.740226129932629,1.2869119165942495e-11
ENSG00000164741,DLC1,0.12340949514297433,3.372590386,1.649770810623416e-11
ENSG00000153902,LGI4,0.051287062916560766,4.944350704760743,1.649770810623416e-11
ENSG00000187955,COL14A1,0.11058772941383414,3.463385924573804,2.359597464522871e-11
ENSG00000135424,ITGA7,0.086546919,3.7794966928658527,2.6046386574402477e-11
ENSG00000072952,MRVI1,0.17790199949182015,3.1318717808572436,5.631241844860552e-11
ENSG00000167371,PRRT2,0.14745030588511218,3.191187883066735,9.479741226853981e-11
ENSG00000127241,MASP1,0.083341477,3.8423815518716244,9.563914894714046e-11
ENSG00000139910,NOVA1,0.075327874,3.9254916775094264,9.563914894714046e-11
ENSG00000121068,TBX2,0.060903387213415906,3.957552886741725,9.563914894714046e-11
ENSG00000115461,IGFBP5,0.6923753493735703,2.855578408042045,1.0094602054061486e-10
